epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5441,1.38497,3.02988,1.54413,0.00333,1,0.704,0.50363,0.85959,3.26277,1.22998,0.0002,0.0002,0.0002
2,100.967,1.22346,2.15403,1.40999,0.00333,1,0.84147,0.53753,1.03163,3.22534,1.38154,0.000411684,0.000411684,0.000411684
3,145.821,1.16504,1.91516,1.40269,1,0.57016,0.90575,0.61859,1.01634,3.15912,1.30632,0.000614656,0.000614656,0.000614656
4,193.989,1.26404,1.90602,1.4365,1,0.42185,0.70639,0.41938,1.28981,3.24287,1.62515,0.000808916,0.000808916,0.000808916
5,243.178,1.29638,1.89808,1.50434,0.60371,0.6875,0.65054,0.38754,1.58369,3.02918,2.02984,0.000994464,0.000994464,0.000994464
6,293.02,1.21959,1.70369,1.38543,0.58766,0.625,0.60098,0.39961,1.49772,3.06276,1.84166,0.0011713,0.0011713,0.0011713
7,347.452,1.23104,1.72405,1.4523,0.69706,0.5625,0.62285,0.40506,1.4786,3.02133,1.98742,0.00133942,0.00133942,0.00133942
8,399.526,1.32313,1.78357,1.50359,0.78983,0.47139,0.59219,0.36079,1.50111,2.48254,1.95191,0.00149884,0.00149884,0.00149884
9,449.928,1.37208,1.74823,1.47747,0.45968,0.37241,0.33521,0.20145,1.97684,4.8879,2.22039,0.00164954,0.00164954,0.00164954
10,501.588,1.26248,1.62584,1.41568,0.86516,0.375,0.56111,0.28677,1.51347,2.59074,1.61434,0.0016436,0.0016436,0.0016436
11,554.713,1.32259,1.68407,1.49469,0.74858,0.8125,0.77324,0.47834,1.53001,2.1227,1.74053,0.001604,0.001604,0.001604
12,611.748,1.28897,1.56178,1.4608,0.61324,0.75,0.6981,0.36752,1.57419,2.21228,1.81932,0.0015644,0.0015644,0.0015644
13,663.436,1.23602,1.44398,1.39874,0.65678,0.5625,0.57516,0.31753,1.64968,2.1897,1.82298,0.0015248,0.0015248,0.0015248
